,Unnamed: 0,comment
66,66,skincareny bpom ga ka?
67,67,KAA BATTLE CHEESECAKE DONG
68,68,Puas nontonnya HAHHAHAHAHAHA ternyata yg lokal aja lebih enak dari dubai 😂
69,69,Chie keik emg seenak ituuuuu ❤
70,70,"next, battle teh dong kaaa"
71,71,O
72,72,Bener kemaren fyp orang luar bikin coklat dubai itu isiannya selain pistachio paste pakai tanini juga
73,73,"Keren bgt cara ngereview nya . Fair, sopan, dikasih masukan, penonton jg mudah nangkep n kebayang maksudnya. Hebat👏🏻 terbaik kak Tasyi"
74,74,NEXT BATTLE DIMSUM KAA TASYIIII
75,75,Kak tasyi mulutnya bener2 masyaallah
76,76,Pantes ampe antri² sblm mall bukak.
77,77,Kak battle Rendang dong dari produk influencer ataupun tempat nasi padang populer
78,78,Kawin ka yuk
79,79,guyss info beli yg no 6 dimana dongg
80,80,Jd bingung cobain chi keik apa studio coklat ya?
81,81,apakah ada coklat vinchoco?
82,82,Kak batle nugget dong
83,83,"Masha allah kak tasyi mkin cantik bnget, pangling aku. Udah lama gak nonton vidio kak tasyi"
84,84,Nah ini yg d tunggu
85,85,aku udah coba juara satunya sebelumnya dan emang bener dubai chocolatenya don bake shop enak bgt huhuhu nangis 😭😭🫶
86,86,"Kaa banyak yang typo jujur, angka 4 jadi 5, terus yang coklat pertama kan ditaro tengah tp tulisannya depan, sama hargaa :( yuk editornya improve yuk"
87,87,Di duo pengacara dibilang enak enak aja di tasyi kurang😅 kliatan siapa yg lebih pro wkwk ( nomer 3)
88,88,No 1 - no 10 brand apa ajasih ga tau😭
89,89,sejauh ini hanya kak tasyi yang jelasin makanan se detail ini dan berasa sambil belajar ilmu masak😭
90,90,Donbake shop pemenang nyaaa si viral ituuu wooow🤩
91,91,As always dari pada “buatan aku”
92,92,kaaaaa battle SATE TAICHAN PLIS😭🙏
93,93,Battle sarden kak
94,94,Kaa battle kebabb
95,95,Kepo sama becca
96,96,.
97,97,"don bakershop belom bisa konsistenin ketebelan coklatnya aja si, liat di konten lain coklatnya ada yang tipiss atas ama bawahnyaa, kak tasyi ga beli yang becas jugaa yaa itu"
98,98,"KAK AYO COBA COKLAT DUBAINGA HABIBISWEET BALI , enak juga"
99,99,👍🏼👍🏼
100,100,Battle makanan kaleng
101,101,gila kiting selalu mirip sama yg lagi hype
102,102,Ka tasyi cobain yang dari becca house kata orang orang enak banget sayang di battle ini gada
103,103,"Kayaknya brand nomor 8 pesanannya uda membludak, jadi soal ketebalannya si cokelat ga konsisten alias terburu2"
104,104,"Sayang g ada becca.. Pdhal byk yg blg becca itu enak bgt .. G kemanisan, gurih ."
105,105,Utk harga segitu yagakpapa sih coklatnya tebal 😅 kan ada orang yg emang mau ngincer coklat yg enak juga biar puass gitu loh.. hehe
106,106,Kak bettle roti manis dari semua toko kue atau homebakers TERENAK
107,107,cobain dubai coklatnya elder patisserie jogja dong kak❤
108,108,Seruuu🎉
109,109,😎
110,110,Hihi betol le Janna ckp. Biasa je nyah. MMG x sedap sangat pon. Hihi
111,111,Kak battle stevia dooongg takut manis nya zonk 😢
112,112,Battle mochi dong kaaa
113,113,"maaf oot, kak tasyi katanya ada gerd yak, kok bisa diet yak. tipsnya gimana yak, pengin diet tapi ada gerd jadi takut buat diet :("
114,114,Battle martabak manis dong kak kayak nya seruu tuhh
115,115,aaaa yg becca’s ga masuk ya kak??? Pdhl liat riview orng bagus bagus kak
116,116,SETELAH DI APPROVED KAK TASYI BERAPA NIH DI KASTIL HARGANYA WKWK. NANGIS POLLL 580😭😭😭
117,117,Udh trending 12 loh
118,118,"always detail banget kak tasyi,,, selalu suka.. luph luph"
119,119,Battle per ice cream man kk
120,120,Sibodoh ini katanya no 4 enak bgt pas tau merknya fix trs tbtb bilang fix ga seenak itu gila apa ya ni org dihh
121,121,kak tasyiii bikin resep cheseecuit yg lg virall donggg plis hihi
122,122,padahal gw liat di ig chef donny itu tipis loh coklat atas bawahnya
123,123,"Gimn radany bak hu penasaran ,ok tk subcrib ki .berbagi yaa"
124,124,beccca ga masukkk
125,125,Battle burnt cheesecake brownie kak tasyiiiiii!
126,126,Yaaahhhh becca belum direview padahal enak bgt
127,127,Pemenang kedua beli dimana ya?
128,128,Battle kwasong dong ka
129,129,kak battle dimsum donggg
130,130,Coklat mahal 😅
131,131,9:06 9:08 9:08 9:08 9:09 9:09 9:09 9:09 9:09 9:11 9:11 9:11 9:11 9:11 9:12 9:12 9:12
132,132,by chi keik beli dimana pliss yang tau dm cari ignya gak nemu ☹️
133,133,Hebat sih kak tasyi soal lidah perasa. Tapi yg di compare makanan yg ga terjangkau sayangnya 😢 tempat maupun harga. Ga semua org bisa icip juga. Sekedar ungkapin isi hati aja
134,134,yg nomor 5 isiannya mirip bget sama tai kebo baru
135,135,Wihh ka tasyi skincare sama kaya punya ibu akuu😂❤❤
136,136,Beli cokkat dubai by chi kiek dmna ya?
137,137,Kak mau tau cara beli coklat dubai by chi kiek dmna ya?
138,138,"Tasyi akan selalu jadi referensi utama gue untuk nyobain sesuatu yang viral, krn gue bukan tipikal yang mau coba-coba, gue akan selalu cobain #1 nya Tasyi, and all I want to say thank you to Tasyi atas reviewnya, jadi gue gak perlu cobain yang ga terbaik, and so far review nya Tasyi memuaskan dan cocok di gue. Sukses terus yaa Tasyi and team!"
139,139,Bedanya kataifi sama kunafa apa ya?
140,140,"ngakak bgtdah liat kak tasyi ngmng😭, apalagi pas ngmng juara dua ""murah banget murah banget""😭"
141,141,"ka tasyi , battle kue maccaron dong"
142,142,MashaAllah salfok cantik banget
143,143,Kak battle bakmie donggg
144,144,battle perkejuan kak
145,145,Gmn seh ka Tasyi.. Knp nomor 4 dibilang tahini mulu pdhl fix dubay coklat satu2nya yg pernah dicoba
146,146,Lebih enak liat mba nya yg ngunyah😅
147,147,Wah makin antri beli di don bakeshop
148,148,Kangeeeen tasyi battle
149,149,Kalo mau skip opening langsung aja ke 3:25 ya guys
150,150,siapa yg bikin subtitle nya😭 “we never no” 😭
151,151,apaan sih jastiper donbakeshop ngambil margin gede banget gilaaaa org dapetnya gak sesusah itu udh 2x beli gue 🙃
152,152,I LOVE U TASYI ❤
153,153,love❤
154,154,"Ka tasyi, battle kecap asin donkkk.."
155,155,Yg by chi keik bisa dibeli dimana ya? Ada yg tau?
156,156,kak battle sushi dong tolong 😊
157,157,"Kak tasyi coba deh cobain buah lontar mau tau reaksi kak tasyi gimana sama rasa buah lontar, pliss kalau setuju like ❤✨🕊️💐💕🤍💗"
158,158,"Lama gak nonton video Tasyi, yang  bikin subtitle masih aja gitu??? Please kalau ketik sub bahasa Inggris, search dulu di Google gitu loh??? Bisa gak sih, ya ampun, tolong banget. Bahasa Inggrisnya Tasyi bener, subnya ambyar. Emang satu tim gak ada yang bisa bahasa Inggris sama sekali, gitu? Buat review tulisan di videonya sebelum release??? GOOGLE TRANSLATE IS FREE."
159,159,"3 studio coklat
2 Chi keik
1 don bakeshop"
160,160,Kak tasyi battle whip cream dong. Biar jadi perbandingan untuk jualan juga
161,161,Sayang banget ga masukin yg punya BECCA......
162,162,"Kak Tasyi, perbanyak konten dgn durasi panjang 😂 pw bgt makan sambil nonton"
163,163,donbake shopp selalu antrii klo di smbb pliss
164,164,Aku cobain donbakeshop tapi cokelatnya ga setebel ituuu
165,165,I NEED U BATTLE BAKSO KAAAK VERSI HARGA MELOKAL EHEHE
166,166,WE made it kak yeeaayyyy..!
167,167,"satu satunya bagi aku food vloger yang berdidikasi tingggi sama makanan dan bisa di percaya,  selain itu unik banget karena biasa nya foodvloger battle makanan hanya menjelaskan dari segi rasa mkanan tapi ka tasyi menjelaskan dengan sangat detail bahkan  bisa ngerasain bahan lain yang ada dimakanan.walau kadang ga dipungkiri selera orang masing masing itu beda tapi  aku selalu suka nonton ka tasyi battle makanannnn"
168,168,"Ak ga ngerti Tasyi ini siapa, tp pnsaran aja karna masuk trending. Dan aku asli kagum dgn cara review dia
Blak2an
Jujur dan sopan
DETAIL
Dan yg aku suka , ga dibuat2

Aku biasany anti banget nnton video diatas 15 menit. Tp ini beneran aku trbawa arus aja 😂😂. Enak aja nntonnya"
169,169,wah
170,170,We made it
171,171,We made it
172,172,Battle hot chocolate/ice chocolate
173,173,Cobain Becca's kak
174,174,"Dari designnya aja udah nyangka yg juara 1 itu Don bakeshop, Congrats"
175,175,WE MADE IT
176,176,"Seruuu bgtt part battle, bikin gregetan. Dan kak tasyi deskripsiinnya detail bgt . Nah begini food vloger hrsnya gk cuman ya enak asin atau enak pedes gk begitu doang😅"
177,177,Trending 3 kak tasyi.. congraatttssss wohoooo
178,178,nonton ini sambil makan dubai coklat😊
179,179,Aku malah mau ka tasyi bikin bettle sarden untuk persiapan sahur😂😂😂
180,180,we made it
181,181,yaelah baru mulai udh iklan awkwk
182,182,nmr 10 beda sendiri 😅
183,183,Konten pling di tunggu perbettle an ini
184,184,Aaaa kesel bgt kemaren jastip Don Bakeshop ketipu jastiipp 😭. IG-nya “Pretty Jastip Co & Shopping” tp skr account-nya udh ilang 🥲
185,185,"Kak Tasyii seneng bangettt bisa trending 3 selamat ka tasyii, aku suka bangett ngikutin battle ka tasyi.  Aaaaa senenggg"
186,186,WE MADE IT 😍🔥🔥🔥🔥🔥
187,187,❤
188,188,"Kalo sekarang foodvloger kebanyakan enak2 aja blgnya,gak bsa deskripsikan makanan itu. .gak ada pak bondan,masih ada tasyi"
189,189,Pake kataifi atau kunafa sih namanya
190,190,Kk masuk tv loh
191,191,kak jujur aku mau beli nungguin km review dulu 😭
192,192,ka tasyi banyakin vidio battle lagi hehe
193,193,Wow
194,194,Kak silau backgroundnya😅
195,195,Congrats tranding 2🎉
196,196,Aku liat org bikin pakai mihun.....hahahahaha😂 ga hbis fkir aku
197,197,Kebayang ga sihhh modalnya brp itu coklat semua 😮
198,198,APASIH NGE RIVIEW KOK ARAHNYA JADI KE TAHINI TAHINI SII GAJELAS BANGET PASTI SENGAJA ITU MAH
199,199,MENJATUHKAN!!!
200,200,we made it kakk
201,201,akhirnyaaa
202,202,"INGET BANGETTT DULU KAK TASYI PERNAH BILANG ""GA BISA DAPET TRANDING DI YUTUB."" NAH ALHAMDULILLAH SEKARANG TERNYATA BISA DI TITIK INI YA KAKKK! CONGRATS ✨✨"
203,203,"Kak tasyi, battle nugget please??"
204,204,We Made it❤
205,205,Congrats kak Tasyiiii
206,206,Udah ga di ragukan lagi anak² nya ibu ala ini totalitas semua kalau udah mereview
207,207,Battle ayam pop padang gasihh?
208,208,"Yah sayang bgt ga ada becca's bake shop, banyak yg bilang lebih enak dari don"
209,209,Akhirnya trending
210,210,yaah gaada moody baker sama becca's. di tiktok seliweran 2 brand itu juga
211,211,Kak bettel   coklat silferQuin ada yang palsu  pliss semoga dibaca amin
212,212,Trending 2 kak tasyi 😍
213,213,"kak tasyi, plis battle makanannya sering2 dong, udah kehabisan tayangan buat temen makan :((("
214,214,Itu nomor 10 coklat dubai isi promag ga siii wkwkkw
215,215,"Mau tau harga nya yg nomor sepuluh, se gak worth it itu kah?😮"
216,216,gokil
217,217,"Suka banget video riview ini, bersih jelas tempo nya dapat. Sukses terus kak tasyi dan team."
218,218,kataifi tuh bahasa apanya kunafa ya?
219,219,Patungan belinya dipotong rata..buat nyobain rame” 😂
220,220,No 2 isi promag ga sih 🤣
221,221,🎉🎉🎉
222,222,cie trending r
223,223,"Moisturizer HnH emang bagus  pernah coba  tapi dikit bgt isinya 2x lipat dri originot
Daycreamnya itu kya Foundation jd suka bentrok warna dg cushion atau bedak"
224,224,"Kaan klo battle pasti trending kak, pliss banyakin konten battle"
225,225,WE MADE IT🥳🔥
226,226,WE MADE IT🥳🔥
227,227,We made it😮🎉❤
228,228,kenapa gaada the moody baker???? padahal itu di juara juara in bangettt
229,229,WE MADE IT 🎉🧡
230,230,"We made it!! Walaupun diriku tidak memiliki niat ingin membeli Dubai coklat karena ga punya uang, tapi aku tetap menonton nya untuk mendukung ka tasyii 🥰😍"
231,231,"You made it Kak Tasyi .. 
Aku jarang banget Komen di Yt hihi"
232,232,Masya allah yang lagi trending #1 finally ❤
233,233,WE MADE IT kakk ❤
234,234,WE MADE IT KA TASYIII CONGRATS
235,235,Jadi pengen 🤤
