,Unnamed: 0,comment
71,71,Gokil penjelasan nya masuk di gue kak thank u kak 🥺🎉
72,72,kak tasyi vidio battle nasi goreng kok udah ga ada?
73,73,yg dapur coklat enak ga ya
74,74,Pecinta langangan skincare hnh ❤ udh make hampir 2tahunan
75,75,battle milk bun kak
76,76,"Padahal no 1 nujum nyh ngk enak, ehh juara 3😂"
77,77,"Gue nonton ini sambil makan sambel plus krupuk, berasa krupuknya jadi coklat 😂😂"
78,78,Makin antri dah si juara 1😂
79,79,"dari awal nonton udah nebak itu nomor 1 Studio Coklat, chocolate dubai-style pertama yg aku cobain malah itu. Kalo selera aku lebih suka dia malah karena tipis, tapi ya itu balik ke selera masing2 😇"
80,80,Itu rambutnya kak tasyi keliatan nggak sih? Salfok
81,81,Untung blm ikut fomo beli fix 😭
82,82,"Sebenernya konten battle ka tasyi ada bagusnya loh buat para umkm"" dan penjual yg lain karena review jujurnya, untuk "" YANG MAU TERIMA KRITIK DAN SARAN YA "" .. Klo yang gamau dan ada rasa IRI DENGKI DI HATI ya susah.. Aku liat kemaren di tiktok banyak yg komen soal review ka tasyi pas aku tonton biasa aja ko, padahal ka tasyi sering bilang klo ini sesuai selera ka tasyi kan.. Emang ribet banget netizen mah yaaa.."
83,83,Kak battle pancake roll durian kk lagi virall
84,84,"Iyaaa lagi, aku pertamakali beli yg heaven, enak kokk, tapi yaa kayak makan coklat crunchy ovomaltine 🥲 gada rasa asin sedikitpun. Ketutup bgt sama milk coklatnya huhu. Coba donebake deh abis ini"
85,85,syaangnya becca g ada tasyiii😅 kata org2 yg becca enakkkk😢
86,86,udah ketebak kalo don bakeshop karna painting coklatnya keliatan wkwkwk
87,87,skincareny bpom ga ka?
88,88,KAA BATTLE CHEESECAKE DONG
89,89,Puas nontonnya HAHHAHAHAHAHA ternyata yg lokal aja lebih enak dari dubai 😂
90,90,Chie keik emg seenak ituuuuu ❤
91,91,"next, battle teh dong kaaa"
92,92,O
93,93,Bener kemaren fyp orang luar bikin coklat dubai itu isiannya selain pistachio paste pakai tanini juga
94,94,"Keren bgt cara ngereview nya . Fair, sopan, dikasih masukan, penonton jg mudah nangkep n kebayang maksudnya. Hebat👏🏻 terbaik kak Tasyi"
95,95,NEXT BATTLE DIMSUM KAA TASYIIII
96,96,Kak tasyi mulutnya bener2 masyaallah
97,97,Pantes ampe antri² sblm mall bukak.
98,98,Kak battle Rendang dong dari produk influencer ataupun tempat nasi padang populer
99,99,Kawin ka yuk
100,100,guyss info beli yg no 6 dimana dongg
101,101,Jd bingung cobain chi keik apa studio coklat ya?
102,102,apakah ada coklat vinchoco?
103,103,Kak batle nugget dong
104,104,"Masha allah kak tasyi mkin cantik bnget, pangling aku. Udah lama gak nonton vidio kak tasyi"
105,105,Nah ini yg d tunggu
106,106,aku udah coba juara satunya sebelumnya dan emang bener dubai chocolatenya don bake shop enak bgt huhuhu nangis 😭😭🫶
107,107,"Kaa banyak yang typo jujur, angka 4 jadi 5, terus yang coklat pertama kan ditaro tengah tp tulisannya depan, sama hargaa :( yuk editornya improve yuk"
108,108,Di duo pengacara dibilang enak enak aja di tasyi kurang😅 kliatan siapa yg lebih pro wkwk ( nomer 3)
109,109,No 1 - no 10 brand apa ajasih ga tau😭
110,110,sejauh ini hanya kak tasyi yang jelasin makanan se detail ini dan berasa sambil belajar ilmu masak😭
111,111,Donbake shop pemenang nyaaa si viral ituuu wooow🤩
112,112,As always dari pada “buatan aku”
113,113,kaaaaa battle SATE TAICHAN PLIS😭🙏
114,114,Battle sarden kak
115,115,Kaa battle kebabb
116,116,Kepo sama becca
117,117,.
